กระทรวง-งบรายจ่าย,งบบุคลากร,งบดําเนินงาน,งบลงทุน,งบเงินอุดหนุน,งบรายจ่ายอื่น,รวม
สำนักนายกรัฐมนตรี,3954.7,2962.6,6772.5,11813.6,15327,40830.4
กระทรวงกลาโหม,93590.8,24735.3,11188.3,5377.5,92234.7,227126.6
กระทรวงการคลัง,12679.7,6433.3,3326.1,753,219755.9,242948.0
กระทรวงการต่างประเทศ,2951.1,2577.8,419.5,1409.3,1839.6,9197.3
กระทรวงการท่องเที่ยวและกีฬา,1509.6,1111.2,1441.6,369.5,1643.1,6075.0
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2741.8,2998.5,915.5,6510.5,176.3,13342.6
กระทรวงเกษตรและสหกรณ์,24739.8,14596.1,65676.5,2979.3,1005.2,108996.9
กระทรวงคมนาคม,9472.2,2468.7,166867.5,45.9,744.3,179598.6
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,1233.6,896.1,1243.2,1773.2,267.3,5413.4
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,10875,6189.6,11026.6,948.3,1653.1,30692.6
กระทรวงพลังงาน,788.6,528.1,641,34.3,309,2301.0
กระทรวงพาณิชย์,2219.5,1609.1,453.2,650.9,1956.5,6889.2
กระทรวงมหาดไทย,18779.3,14070.3,31700.4,278770.1,28481.6,371801.7
กระทรวงยุติธรรม,9734.9,9147.3,3123,950.8,2187.9,25143.9
กระทรวงแรงงาน,3589.5,1565.1,461.2,46233.3,745.2,52594.3
กระทรวงวัฒนธรรม,2131.6,736.4,2628.9,1382.8,1235.6,8115.3
กระทรวงวิทยาศาสตร์และเทคโนโลยี,415,324.5,781.1,12947.3,259.7,14727.6
กระทรวงศึกษาธิการ,237718.1,28233.1,32548.7,179311,9835.5,487646.4
กระทรวงสาธารณสุข,95815.7,14808.5,17895,6653.7,215.8,135388.7
กระทรวงอุตสาหกรรม,1620.3,620.3,642.3,378,1970.3,5231.2
