กระทรวง-งบรายจ่าย,งบบุคลากร,งบดําเนินงาน,งบลงทุน,งบเงินอุดหนุน,งบรายจ่ายอื่น,รวม
สำนักนายกรัฐมนตรี,3941.3,2770.8,3682.2,9474.7,14005.7,33874.7
กระทรวงกลาโหม,91153.1,25039.5,9544.1,6610.7,88176.3,220523.7
กระทรวงการคลัง,12235.8,6177.6,3177.1,89.2,216561.9,238241.6
กระทรวงการต่างประเทศ,3045.3,2534.2,574,1182.7,1425.3,8761.5
กระทรวงการท่องเที่ยวและกีฬา,1342.8,1107.3,1911.2,340.1,1921.5,6622.9
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2652.9,3542.9,1383.2,5951.5,187,13717.5
กระทรวงเกษตรและสหกรณ์,25019.6,15538.5,55276.8,3139.3,856.5,99830.7
กระทรวงคมนาคม,9492.6,2308.9,156059.3,268.4,638.8,168768.0
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,1163.7,1163.4,1379.2,2587.1,277.8,6571.2
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,10632,6284.7,12447.3,2493.2,1787.5,33644.7
กระทรวงพลังงาน,785.1,542.7,544,24.5,324.8,2221.1
กระทรวงพาณิชย์,2208.7,1716.8,396.2,637,2115,7073.7
กระทรวงมหาดไทย,17815,14050.7,29648.7,264311.4,28477.8,354303.6
กระทรวงยุติธรรม,8775.7,8648.1,4094.6,1014.6,1947.8,24480.8
กระทรวงแรงงาน,3491.5,1582.6,511.9,42776.4,1197.3,49559.7
กระทรวงวัฒนธรรม,2115.6,733.9,2733.9,1338.6,1180.3,8102.3
กระทรวงวิทยาศาสตร์และเทคโนโลยี,406.6,337.8,682.5,12124,724.5,14275.4
กระทรวงศึกษาธิการ,250754.5,33148.8,34287.6,180797.9,8958.9,507947.7
กระทรวงสาธารณสุข,91525.1,14110.2,22035.6,6978.5,244.6,134894.0
กระทรวงอุตสาหกรรม,1586.3,609.1,800.8,516.3,1735.7,5248.2
